catchment_id,outfall_arc
GB104027063620,node_3098-to-node_3099
GB104027063630,node_3695-to-node_3696
GB104027063660,node_3731-to-node_3732
GB104027063690,node_3749-to-node_3746
GB104027063700,node_3754-to-node_3755
GB104027063710,node_3761-to-node_3757
GB104027063730,node_3855-to-node_3768
GB104027063741,node_3858-to-node_3859
GB104027063742,node_3863-to-node_3756
GB104027063760,node_3870-to-node_3871
GB104027063770,node_3883-to-node_3884
GB104027063780,node_3889-to-node_3890
GB104027063790,node_4610-to-node_3905
GB104027063800,node_3911-to-node_3912
GB104027063810,node_3918-to-node_3914
GB104027063820,node_4604-to-node_4039
GB104027063840,node_4048-to-node_4049
GB104027063850,node_4051-to-node_4052
GB104027063860,node_4725-to-node_4596
GB104027063880,node_4597-to-node_4598
GB104027063890,node_4600-to-node_4601
GB104027063900,node_4606-to-node_4603
GB104027063910,node_572-to-node_569
GB104027063940,node_4734-to-node_4732
GB104027063950,node_4740-to-node_4741
GB104027063960,node_4743-to-node_4744
GB104027063970,node_5952-to-node_5953
GB104027063990,node_5989-to-node_5990
GB104027064001,node_3433-to-node_3434
GB104027064002,node_3442-to-node_3440
GB104027064020,node_3085-to-node_3076
GB104027064030,node_3072-to-node_3069
GB104027064040,node_3074-to-node_3075
GB104027064050,node_3077-to-node_3078
GB104027064060,node_3080-to-node_3081
GB104027064080,node_3089-to-node_3090
GB104027064090,node_2076-to-node_2077
GB104027064100,node_2081-to-node_2082
GB104027064110,node_2088-to-node_2084
GB104027064120,node_2094-to-node_2091
GB104027064130,node_2096-to-node_2097
GB104027064140,node_5231-to-node_2098
GB104027064150,node_2188-to-node_2185
GB104027064180,node_2186-to-node_2187
GB104027064190,node_4145-to-node_4146
GB104027064200,node_5283-to-node_5284
GB104027064210,node_5288-to-node_5289
GB104027064243,node_5295-to-node_5296
GB104027064244,node_5348-to-node_5349
GB104027064254,node_3448-to-node_3449
GB104027064255,node_5957-to-node_4476
GB104027064257,node_5351-to-node_2093
GB104027064258,node_4501-to-node_4487
GB104027064260,node_5930-to-node_4517
GB104027067750,node_4530-to-node_4531
GB104027067760,node_4538-to-node_4535
GB104027067790,node_2690-to-node_2691
GB104027067811,node_5575-to-node_4364
GB104027067870,node_2898-to-node_2899
GB104027067880,node_5578-to-node_5579
GB104027067890,node_5598-to-node_5599
GB104027067910,node_5606-to-node_5607
GB104027067950,node_5611-to-node_5612
GB104027067971,node_5707-to-node_5705
GB104027067980,node_5716-to-node_5714
GB104027067990,node_5727-to-node_5723
GB104027068020,node_5731-to-node_5732
GB104027068040,node_5739-to-node_5735
GB104027068050,node_5740-to-node_5741
GB104027068060,node_5741-to-node_5734
GB104027068070,node_5859-to-node_5860
GB104027068080,node_5862-to-node_5863
GB104027068100,node_5873-to-node_5874
GB104027068110,node_5876-to-node_5877
GB104027068120,node_5879-to-node_5880
GB104027068130,node_5880-to-node_5742
