catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB112069061170,node_12854-to-node_12855,-334.4965127,8.576038773,-54.13718026,-3.02645654,0.000122351
GB104027067910,node_5606-to-node_5607,94.16045414,3.180629888,-54.13501378,-1.014618563,0.350718088
GB112069061260,node_13811-to-node_13812,-190.3712646,4.322888271,-53.97409762,-2.594146912,0.033447359
GB107040073310,node_11094-to-node_11095,92.09976996,4.412134038,-53.92014492,-0.386993111,0.013415361
GB104027069380,node_3464-to-node_3465,-131.4616447,0.443772672,-53.72917866,-3.313093724,0.152667253
GB105033043010,node_6940-to-node_6941,82.39267467,13.5906872,-53.60483758,-0.371366395,0.008775404
GB109053021990,node_12228-to-node_12229,92.84704298,5.250597859,-53.21768733,-0.35285153,0.038126629
GB112069061220,node_14212-to-node_14208,-282.6639358,8.334903227,-52.57986779,-2.681815812,0.019429874
GB107040019790,node_13054-to-node_13055,96.52622842,6.509678495,-52.55526906,-0.337623088,0.227689132
GB109054044010,node_13946-to-node_13947,97.33664796,9.2993111,-52.3317609,-0.703135337,0.014389509
GB105034050950,node_9977-to-node_9978,96.81412971,6.58792853,-51.72366501,-0.532052763,0.011752296
GB109054055100,node_14363-to-node_693,95.89841732,9.671462577,-51.55853772,-0.56956414,0.00279142
GB108046005060,node_12452-to-node_12453,93.75446774,4.097222696,-50.90003065,-0.434774063,0.03806828
GB108049000560,node_11175-to-node_11176,93.97015166,4.95049207,-50.23925616,-0.590404157,0.009578698
GB108049007030,node_8797-to-node_8796,-166.5981532,0.237096536,-50.1681731,-3.1006377,0.003366499
GB107042022640,node_10587-to-node_10588,91.98786186,5.274313991,-49.10513468,-0.523698567,0.000243189
GB107042022810,node_10698-to-node_10699,61.00217398,5.104508537,-49.00636949,-1.491545846,0.035131726
GB108043015800,node_8762-to-node_8761,91.66360561,6.153590994,-48.92791685,-0.568266223,0.013952698
GB107042022750,node_10659-to-node_10607,94.28488,8.941396353,-48.62818665,-0.62921276,0.013778857
GB104028058150,node_7165-to-node_7166,93.67653673,12.58908926,-48.2461204,-0.440068477,0.043826992
GB106039017370,node_11539-to-node_11540,93.09382768,4.236422482,-47.73697251,-0.488648959,0.00285871
GB109054050200,node_15439-to-node_15440,94.08845115,8.577845747,-47.58282699,-0.458823902,0.016056935
GB108050020050,node_8535-to-node_8536,92.19813457,3.065611015,-47.22675733,-0.331291375,0.068836962
GB109054044600,node_16181-to-node_16182,88.17770043,2.946989847,-46.99305941,-0.399803248,7.04E-05
GB109054050260,node_15312-to-node_2888,90.80946829,9.225589682,-46.49173091,-0.51865052,0.000423103
GB108052021390,node_11689-to-node_20526,93.03199133,6.258481741,-46.45421364,-0.487203478,0.011934485
GB107040019550,node_20512-to-node_11310,96.88907696,6.465132905,-46.27591032,-0.838522577,0.098648282
GB108048001980,node_9959-to-node_9960,94.16362819,6.926459594,-45.3551544,-0.346062589,0.130246276
