catchment_id,outfall_arc
GB106039029750,node_10622-to-node_10003
GB106039029830,node_9699-to-node_9700
GB106039029860,node_9511-to-node_9509
GB106039029870,node_9502-to-node_9501
GB106039029880,node_3689-to-node_3690
GB106039029900,node_9510-to-node_9511
GB106039029920,node_9527-to-node_9525
GB106039030040,node_9227-to-node_9228
GB106039030300,node_8231-to-node_8230
GB106039030331,node_10287-to-node_9471
GB106039030440,node_10900-to-node_10771
GB106039030470,node_9840-to-node_9841
GB106039030480,node_9843-to-node_9838
GB106040018160,node_13200-to-node_8666
GB106040018210,node_8523-to-node_8524
GB106040018240,node_8529-to-node_8530
GB106040018390,node_3633-to-node_3634
GB106040018430,node_13226-to-node_13222
GB106040018560,node_12993-to-node_12994
GB106040024150,node_11559-to-node_11560
GB106040024221,node_11563-to-node_11564
GB106040024222,node_11564-to-node_11415
GB107040013570,node_12702-to-node_12703
GB107040019660,node_11961-to-node_11958
GB107040073310,node_11094-to-node_11095
GB107041012110,node_13267-to-node_13268
GB107041012380,node_12613-to-node_12611
GB107041012450,node_12631-to-node_12632
GB107041012570,node_12001-to-node_12002
GB107041012610,node_11903-to-node_11904
GB107041012730,node_11349-to-node_11347
GB107041012830,node_12339-to-node_12338
GB107041012840,node_12340-to-node_12341
GB107041012950,node_7404-to-node_7405
GB107041017970,node_6963-to-node_6964
GB107041017990,node_7198-to-node_7199
GB107041018000,node_7200-to-node_7201
GB107042016310,node_8144-to-node_8145
GB107042016360,node_8155-to-node_6165
GB107042016370,node_8159-to-node_8160
GB107042016620,node_6410-to-node_6406
GB107042016670,node_6429-to-node_6428
GB107042022610,node_10578-to-node_10579
GB107042022620,node_10586-to-node_10585
GB107042022650,node_10594-to-node_10593
GB107042022770,node_10655-to-node_10652
GB107042022780,node_10699-to-node_10660
GB107101005990,node_8396-to-node_8397
GB107101006220,node_9207-to-node_9208
GB107101006250,node_9209-to-node_9210
GB108043011020,node_9222-to-node_9223
GB108043015740,node_9422-to-node_9421
GB108043015830,node_10860-to-node_8084
GB108043022390,node_9808-to-node_9807
GB108043022450,node_9081-to-node_9077
GB108043022470,node_9133-to-node_9134
GB108044009580,node_9273-to-node_9277
GB108044009700,node_11275-to-node_11276
GB108044009800,node_8102-to-node_8103
GB108044010080,node_10917-to-node_10798
GB108044010120,node_10916-to-node_10917
GB108045009200,node_12048-to-node_12049
GB108046008470,node_11145-to-node_4062
GB108047003890,node_11479-to-node_11477
GB108047004010,node_13096-to-node_7235
GB108047007731,node_13192-to-node_13189
GB108047007850,node_13302-to-node_13303
GB108047007960,node_8073-to-node_8069
GB108047008010,node_7873-to-node_7872
GB108048001140,node_7966-to-node_7964
GB108048001171,node_7981-to-node_7978
GB108048002280,node_8976-to-node_8971
GB108048002320,node_8994-to-node_8992
GB108048002340,node_9006-to-node_9002
GB108048007640,node_3651-to-node_3652
GB108049000300,node_8476-to-node_8477
GB108049000700,node_8188-to-node_8189
GB108049007030,node_8797-to-node_8796
GB108050008160,node_8600-to-node_8601
GB108050014140,node_9063-to-node_9061
GB108050019990,node_9338-to-node_9339
GB108051020250,node_12500-to-node_12499
GB108051020560,node_11639-to-node_11640
GB108052015140,node_11746-to-node_11745
GB108052015220,node_11770-to-node_11764
GB108052015321,node_11138-to-node_11136
GB108052015481,node_11680-to-node_11681
GB108052015510,node_13021-to-node_13017
GB108052015681,node_12188-to-node_12189
GB108052021183,node_12276-to-node_11521
GB108052021370,node_11679-to-node_11680
GB108052021390,node_11689-to-node_20526
GB109052021520,node_10832-to-node_10830
GB109052021640,node_11788-to-node_11789
GB109052021690,node_12767-to-node_12768
GB109053027510,node_7463-to-node_7461
GB109053027610,node_5424-to-node_5421
GB109053027730,node_14017-to-node_14018
GB109053027770,node_14047-to-node_14042
GB109053027780,node_14196-to-node_13805
GB109054032470,node_4279-to-node_4278
GB109054039350,node_14590-to-node_14591
GB109054039540,node_14664-to-node_14665
GB109054039631,node_14746-to-node_14747
GB109054044110,node_14067-to-node_573
GB109054044180,node_641-to-node_640
GB109054044560,node_16102-to-node_16103
GB109054044750,node_15466-to-node_15467
GB109054044790,node_19189-to-node_19190
GB109054049190,node_16312-to-node_16316
GB109054049630,node_16328-to-node_16329
GB109054050030,node_14020-to-node_14021
GB109054050141,node_15323-to-node_15331
GB109054050190,node_15438-to-node_15439
GB109054050200,node_15439-to-node_15440
GB109054050210,node_15442-to-node_15443
GB109054050260,node_15312-to-node_2888
GB109054055080,node_14234-to-node_14235
GB109054055090,node_14245-to-node_14246
GB109055029690,node_13462-to-node_13458
GB109055036950,node_20202-to-node_18797
GB109055042270,node_19034-to-node_19035
GB109055042280,node_17503-to-node_17502
GB109056032980,node_20076-to-node_20077
GB109057027140,node_17757-to-node_17758
GB109057027190,node_18815-to-node_18712
GB110058026332,node_18969-to-node_18970
GB110065053700,node_18790-to-node_18791
GB110065054010,node_17216-to-node_17217
GB110066059930,node_20127-to-node_17269
GB110102058790,node_17253-to-node_17254
GB111067051880,node_17274-to-node_17273
GB112068060390,node_14976-to-node_13512
GB112068060470,node_15866-to-node_5319
GB112069060980,node_13814-to-node_13815
GB112069061131,node_12847-to-node_12830
GB112069061152,node_12845-to-node_12842
GB112069061320,node_14282-to-node_14281
GB112069061360,node_13960-to-node_13958
GB112069061420,node_16758-to-node_16757
GB112069064580,node_13646-to-node_13642
GB112069064600,node_13650-to-node_13651
GB112070064780,node_14777-to-node_14770
GB112072065800,node_15271-to-node_15270
GB112072065900,node_15342-to-node_15343
GB112073071130,node_15573-to-node_15574
GB112073071400,node_16363-to-node_16359
